regime,seed,tau,lambda,quadratic_validation_rmse,irls_norm_validation_rmse,exact_norm_validation_rmse,quadratic_vs_irls_prediction_max_abs,irls_vs_exact_prediction_max_abs,irls_vs_exact_prediction_relative_l2,quadratic_fit_seconds,irls_fit_seconds,exact_fit_seconds,quadratic_objective,irls_norm_objective,exact_norm_objective,irls_vs_exact_relative_objective,irls_iterations,irls_converged,irls_stationarity_residual,irls_relative_objective_change,irls_convergence_reason
recurring,1,3,0.1,0.0928200933664619,0.05971304022082676,0.05971274893677983,0.17740377518685624,2.7656091368122304e-6,8.177913814962512e-7,0.0009682,0.0044983,5.4430054,0.023957516551503796,2.2749545104580227,2.2749545104540148,1.761751762718523e-12,8,true,8.291178132463575e-8,6.506651915949626e-10,objective_and_practical_stationarity
recurring,1,5,0.001,0.05473831712656311,0.05116626905748521,0.05116646515015507,0.19781738833774265,2.0626195313844242e-5,3.3986630362710903e-6,0.1880347,0.0250342,6.3321016,0.0012689601796667493,0.6096241155338187,0.6096241161044837,9.360933330530438e-10,3,true,3.5620545999954703e-9,3.554905070313197e-8,strict_smoothed_stationarity
recurring,1,5,0.01,0.0663091510581785,0.05136803489818325,0.05136831275518496,0.2600601414083439,1.277018203926783e-5,1.8692526157504278e-6,0.0050456,0.027774399999999998,8.4435105,0.004280623668516668,0.8199432115664063,0.8199432118696872,3.6988043990622575e-10,7,true,5.842800130484845e-9,7.083450492828547e-10,strict_smoothed_stationarity
recurring,1,5,0.1,0.09910997572367554,0.06389118206662699,0.0638923354422089,0.19260706347632994,2.1489610075864363e-5,4.655466875151904e-6,0.0050849,0.0384402,10.3047179,0.02349441649886245,2.225645793635016,2.2256457984362847,2.1572474467008333e-9,9,true,2.43295279272145e-8,5.965749665469172e-11,objective_and_practical_stationarity
recurring,2,1,0.001,0.06463683225782674,0.06412395281830127,0.06412409160563477,0.014608784241934014,3.929240187217076e-6,1.0449167589043946e-6,0.0006434,0.0009453,0.5386456,0.0034189975680833243,1.3694092160826161,1.3694092162309792,1.0834095303658582e-10,2,true,3.658218228083337e-9,1.5602708080914004e-8,strict_smoothed_stationarity
recurring,2,1,0.01,0.06957066974102279,0.06459806808906551,0.0645981307672072,0.08908501385394751,2.2379006807682345e-6,9.120601975663058e-7,0.0006134000000000001,0.0010834,0.6960455999999999,0.006214632958325377,1.5018683196850127,1.5018683197897222,6.971954396052344e-11,4,true,9.93503117455585e-10,1.2563031000360781e-11,strict_smoothed_stationarity
recurring,2,1,0.1,0.09962045879301798,0.07009783724637056,0.07009733358162348,0.14566401121817518,4.930723776164214e-6,2.1673301447793746e-6,0.0006085999999999999,0.0024187,1.0140654,0.02522468849606729,2.728052703661718,2.7280527046275163,3.5402472485824905e-10,7,true,2.852526222576837e-8,4.767843689097294e-11,objective_and_practical_stationarity
recurring,2,3,0.001,0.05961465825447591,0.05912668039752474,0.05912669445274425,0.01875322636489385,6.232998702726533e-7,1.9100712650229892e-7,0.0026433999999999997,0.0061061,2.6553734,0.0024658834896711095,1.1307533715578195,1.130753371562481,4.122368775031871e-12,2,true,4.424391302394071e-9,4.0035837553764134e-8,strict_smoothed_stationarity
recurring,2,3,0.01,0.06544233755495772,0.059462811624614496,0.059462890548525174,0.12103013040898958,1.483353529918574e-5,4.16682793208936e-6,0.0035203,0.0079846,3.1191953,0.005403097293233572,1.2695310023480935,1.2695310041815164,1.4441734490618687e-9,4,true,1.7350411993415589e-9,5.987432163077495e-11,strict_smoothed_stationarity
recurring,2,3,0.1,0.0999728324932583,0.06477441680207081,0.0647733082067464,0.18568575857802994,1.4997294724206078e-5,3.4667991190625583e-6,0.0020106000000000004,0.0108296,3.8152303,0.02461890550812591,2.5432089027500018,2.543208904145029,5.485303242651221e-10,7,true,7.909486122843326e-8,4.466381207435064e-10,objective_and_practical_stationarity
recurring,2,5,0.001,0.06488375111507155,0.06523941317298708,0.0652394245508658,0.04042329586757465,1.1453332739996824e-6,2.862120499871977e-7,0.0042052,0.0394883,5.8568209,0.0020900264481161107,1.0145925308380745,1.0145925308454715,7.290583854095188e-12,3,true,5.483352782465388e-11,6.1569355977393934e-12,strict_smoothed_stationarity
recurring,2,5,0.01,0.06940594614644453,0.06492680178434371,0.06492687096167714,0.13959140846196916,2.8218066048246726e-6,7.515109403758233e-7,0.005257700000000001,0.032761700000000005,7.2889844,0.005093621433549784,1.1604862531583726,1.1604862531967157,3.304055206345013e-11,4,true,6.388631768061379e-9,8.172187787882143e-10,strict_smoothed_stationarity
recurring,2,5,0.1,0.10157748445202423,0.0683173054602868,0.06831713265883461,0.22625920498311902,2.803835606024485e-6,1.250483799709815e-6,0.0051234,0.0964068,8.9909585,0.024262372454076593,2.4622691907448813,2.462269190915728,6.938595212065682e-11,8,true,3.124984119343345e-8,7.432360489315487e-11,objective_and_practical_stationarity
recurring,3,1,0.001,0.08312421547824325,0.08262732136585635,0.08262730815074455,0.046797503342650204,1.7307835123991921e-6,2.014713395314311e-7,0.0005107,0.00084,0.6482471000000001,0.007058780134852145,2.0106064337188227,2.0106064337178537,4.819454666227412e-13,2,true,9.938704517297634e-9,2.176710120330169e-8,strict_smoothed_stationarity
recurring,3,1,0.01,0.08776192167725338,0.08329485286702988,0.08329451759049578,0.16130885602744827,1.5256576147870682e-5,4.233658611627226e-6,0.0005348,0.0014246999999999999,0.6045509,0.010220756158627102,2.1542394711421826,2.154239473440929,1.0670803106173238e-9,4,true,6.8145770574541755e-9,1.0896436788658485e-10,strict_smoothed_stationarity
recurring,3,1,0.1,0.11351369892143216,0.08991723957450538,0.08991649592964067,0.12521630783274085,1.4820150309069469e-5,5.920305750652664e-6,0.0005208,0.0015704,0.696535,0.030883417179932916,3.423276336386871,3.4232763388979657,7.335355486928037e-10,7,true,3.603315919006794e-8,2.7938389773237486e-11,objective_and_practical_stationarity
recurring,3,3,0.001,0.06935777436418965,0.07030585644805082,0.07030584227485832,0.1866423498633457,8.882150690503465e-7,3.5756988706856605e-7,0.0029162,0.0061865,2.4567276000000002,0.004372102939827336,1.544945792708674,1.5449457927224575,8.921619720024344e-12,3,true,1.429245166896665e-10,8.121225032623425e-12,strict_smoothed_stationarity
recurring,3,3,0.01,0.08154933036775752,0.06935238122528195,0.06935232973021092,0.6131409227141387,4.7719537208834595e-5,6.448315664047724e-6,0.0019957,0.005971,2.6413022,0.0075186829664644645,1.6982714102745837,1.6982714126893037,1.4218692969121715e-9,4,true,2.8795196589708775e-8,3.1741815101231608e-9,objective_and_practical_stationarity
recurring,3,3,0.1,0.11185357089739296,0.08415233132110826,0.08415223352158475,0.14915437953267752,3.277588641936724e-6,1.436637832149919e-6,0.0279377,0.0090276,3.7121516,0.027467567066858774,2.984429860510552,2.9844298606881074,5.949387725000982e-11,7,true,6.634171165465485e-8,1.4985747879898137e-10,objective_and_practical_stationarity
recurring,3,5,0.001,0.07002139793331857,0.07159589269536613,0.07159571301610829,0.16295692669645157,1.1586547811859305e-5,1.2351480505830937e-6,0.0050676,0.0441041,5.7462107,0.0032522961220894857,1.298892512624098,1.2988925126593134,2.7111855538062456e-11,3,true,1.2117497965600106e-10,1.1220591074050321e-11,strict_smoothed_stationarity
recurring,3,5,0.01,0.07932029949387798,0.07019465383634904,0.07019459576510392,0.5120934184341058,6.370190786153529e-5,7.090051246587272e-6,0.0049977,0.029388400000000002,6.0071629,0.006534297992158676,1.4587867903452518,1.4587867917237691,9.44975172609771e-10,4,true,2.808552728769253e-8,5.3788277798129105e-9,objective_and_practical_stationarity
recurring,3,5,0.1,0.1122547145758083,0.08002470649417102,0.08002138988796366,0.17901484042554938,8.433351639802744e-5,9.044369741207115e-6,0.0051877,0.1660752,8.5506907,0.0265262106755808,2.7985937983108964,2.7985938026518076,1.551104408917572e-9,8,true,5.068613801679062e-8,1.034440079311074e-10,objective_and_practical_stationarity
recurring,4,1,0.001,0.12239059674706568,0.12257338918800371,0.12257320660738608,0.015133331448454773,1.0014184636419898e-5,3.209032531617415e-6,0.0008681,0.0008352,0.5819266000000001,0.009263279167985217,2.3217378816239918,2.321737882134048,2.1968734948598795e-10,2,true,7.822324158723904e-9,1.0106824535857908e-8,strict_smoothed_stationarity
recurring,4,1,0.01,0.12263162236068716,0.12231754774045293,0.12231756487931451,0.06500857325361864,1.2292441929712128e-5,2.9229741866658606e-6,0.0004955,0.001096,0.7124181,0.01226354522181752,2.459928076967785,2.4599280774107872,1.8008741130782747e-10,4,true,5.7171860826640296e-9,5.6403686583677054e-11,strict_smoothed_stationarity
recurring,4,1,0.1,0.13709451447675028,0.1237450065655134,0.12374552602218479,0.19190844671738905,2.186216195743107e-5,7.110992446138905e-6,0.0005299,0.0015894000000000001,0.8381296,0.03250519361849785,3.6799690823135873,3.679969086604226,1.1659441724033691e-9,7,true,1.4924333532271645e-8,3.998043242532878e-12,objective_and_practical_stationarity
