dataset,objective_variant,tau,lambda,validation_rmse,validation_mae,validation_cvar_05,fit_seconds,preparation_seconds,solve_seconds,condition_number,linear_solver,converged,iterations,residual_norm,relative_objective_change,stationarity_residual,convergence_reason,n_parameters
safi,quadratic_stacked,2,1.0,0.38624621824335204,0.2924848219061776,1.0033848235860774,0.0237392,0.0233558,0.0003834,9448.044513249231,cholesky,true,0,4.946519611359243e-16,NaN,NaN,,78
safi,quadratic_stacked,2,2.0,0.40561177567799694,0.3072801453995009,1.0402656698404442,0.0237998,0.0233558,0.000444,5100.59292514439,cholesky,true,0,6.749717169516588e-16,NaN,NaN,,78
safi,quadratic_stacked,3,0.0,0.35316699165834514,0.25923843432841687,0.9675558139543495,0.010858,0.0099086,0.0009494,1.9926776295103126e6,cholesky,true,0,3.02062072213946e-15,NaN,NaN,,114
safi,quadratic_stacked,3,1.0e-6,0.35316762489047654,0.2592391621910171,0.9675559573064023,0.0108632,0.0099086,0.0009546,1.9924596940617003e6,cholesky,true,0,3.181308457439212e-15,NaN,NaN,,114
safi,quadratic_stacked,3,0.0001,0.3532308554463841,0.25931203049148965,0.9675687375373818,0.0108571,0.0099086,0.0009485,1.9711487451219175e6,cholesky,true,0,3.023685223154311e-15,NaN,NaN,,114
safi,quadratic_stacked,3,0.001,0.35384466918185437,0.2600445994852387,0.9677510161446653,0.0108543,0.0099086,0.0009457,1.798499309032181e6,cholesky,true,0,2.9937941247344486e-15,NaN,NaN,,114
safi,quadratic_stacked,3,0.01,0.36037934538174915,0.267237538294852,0.972955150017774,0.0108579,0.0099086,0.0009493,983019.8499359624,cholesky,true,0,2.023191304539584e-15,NaN,NaN,,114
safi,quadratic_stacked,3,0.1,0.3806011066919328,0.2870315681360989,0.9978192891443652,0.0109245,0.0099086,0.0010159,186345.46808288977,cholesky,true,0,8.624747051759176e-16,NaN,NaN,,114
safi,quadratic_stacked,3,1.0,0.3849465686059257,0.2918278632685993,0.9968844047231039,0.0109466,0.0099086,0.001038,22050.83943243473,cholesky,true,0,7.608680956817947e-16,NaN,NaN,,114
safi,quadratic_stacked,3,2.0,0.4042406712425804,0.30704137752288074,1.0350073586240573,0.0110116,0.0099086,0.001103,11886.809767278464,cholesky,true,0,5.158877865014244e-16,NaN,NaN,,114
safi,quadratic_stacked,4,0.0,0.35142833382857747,0.25810366960282277,0.9603413306268677,0.0430328,0.0406187,0.0024141,3.2138838420394314e6,cholesky,true,0,4.768465378662969e-15,NaN,NaN,,150
safi,quadratic_stacked,4,1.0e-6,0.35142901376237146,0.25810449801656404,0.9603421523188743,0.0427732,0.0406187,0.0021545,3.213536842645553e6,cholesky,true,0,4.783759833833681e-15,NaN,NaN,,150
safi,quadratic_stacked,4,0.0001,0.3514970972672729,0.25818819156848094,0.9604215026959898,0.042500500000000004,0.0406187,0.0018818,3.1795882482292713e6,cholesky,true,0,4.187678837969488e-15,NaN,NaN,,150
safi,quadratic_stacked,4,0.001,0.35217046645541045,0.25900849121097286,0.9609954589278464,0.0424454,0.0406187,0.0018267,2.9034366948690913e6,cholesky,true,0,4.133415662709303e-15,NaN,NaN,,150
safi,quadratic_stacked,4,0.01,0.35939944068935337,0.2667050398735747,0.9701250016681704,0.0425176,0.0406187,0.0018989,1.5843589330153207e6,cholesky,true,0,3.2883891874320585e-15,NaN,NaN,,150
safi,quadratic_stacked,4,0.1,0.38073640094408007,0.2870084941862097,0.9974988498416583,0.0425169,0.0406187,0.0018982,297375.91586725856,cholesky,true,0,1.443544414472124e-15,NaN,NaN,,150
