condition_number,fit_seconds,iterations,lambda,linear_solver,n_parameters,objective_variant,preparation_seconds,residual_norm,solve_seconds,tau,validation_cvar_05,validation_mae,validation_rmse,method,converged,convergence_reason,exact_fallback_used,relative_change,relative_objective_change,stationarity_residual,fit_and_validation_seconds,window,forgetting,ridge,eta,gamma,seed,share,C,epsilon,variance_forgetting,epochs,hidden,learning_rate,weight_decay,max_depth,min_leaf,n_trees
,0.075647,9,0.1,irls+cholesky,186,norm_plus_norm_irls,0.0221018,,0.0439929,5,0.9954316999762016,0.28435790513876497,0.37804676745527604,adaptive_robust_norm,true,objective_and_practical_stationarity,false,4.879474691594589e-6,1.0909915864699066e-12,3.183182237960722e-8,,,,,,,,,,,,,,,,,,
,0.09470970000000001,18,1.0,irls+cholesky,186,norm_plus_norm_irls,0.0221018,,0.053435300000000005,5,0.9996300036893576,0.2955214340200285,0.3889367306609191,adaptive_robust_norm,true,objective_and_practical_stationarity,false,2.766554407579083e-7,9.305127124007029e-14,9.445554800942915e-8,,,,,,,,,,,,,,,,,,
,0.5685612,117,2.0,irls+cholesky,186,norm_plus_norm_irls,0.0221018,,0.42201519999999987,5,1.4490630514591711,0.44571405402035025,0.5815809327362007,adaptive_robust_norm,true,objective_and_practical_stationarity,false,1.6190193674425602e-8,4.1112002146377056e-15,9.035630778537396e-8,,,,,,,,,,,,,,,,,,
,0.0499564,2,0.0,irls+cholesky,258,norm_plus_norm_irls,0.0336843,,0.0141297,7,0.9625679836233714,0.25917123604995185,0.3522003415159823,adaptive_robust_norm,true,iterate_objective_and_strict_stationarity,false,0.0,0.0,4.631767767941477e-15,,,,,,,,,,,,,,,,,,
,0.0515238,2,1.0e-6,irls+cholesky,258,norm_plus_norm_irls,0.0336843,,0.015322200000000001,7,0.9625681468279236,0.2591714237532709,0.3522006080775585,adaptive_robust_norm,true,strict_smoothed_stationarity,false,5.156748723109714e-8,1.7129495651816307e-16,6.792425325744681e-15,,,,,,,,,,,,,,,,,,
,0.051202899999999996,2,0.0001,irls+cholesky,258,norm_plus_norm_irls,0.0336843,,0.0151681,7,0.9625841489541037,0.2591904155860325,0.35222710646632405,adaptive_robust_norm,true,strict_smoothed_stationarity,false,4.665988166039024e-5,1.2175842851813756e-10,4.702242340884851e-10,,,,,,,,,,,,,,,,,,
,0.0638247,3,0.001,irls+cholesky,258,norm_plus_norm_irls,0.0336843,,0.0267254,7,0.9627157058786924,0.2593915082990556,0.3524774562552405,adaptive_robust_norm,true,strict_smoothed_stationarity,false,8.608342463089282e-5,4.268380012011576e-10,8.726181357663518e-9,,,,,,,,,,,,,,,,,,
,0.0842746,6,0.01,irls+cholesky,258,norm_plus_norm_irls,0.0336843,,0.0439857,7,0.9643354876970277,0.2623183625101074,0.35565797546540384,adaptive_robust_norm,true,objective_and_practical_stationarity,false,8.937220648369834e-5,5.585842503763186e-10,9.486689226780702e-8,,,,,,,,,,,,,,,,,,
,0.1102612,9,0.1,irls+cholesky,258,norm_plus_norm_irls,0.0336843,,0.06076009999999999,7,1.0048890044559704,0.2859530155250533,0.3804475055952832,adaptive_robust_norm,true,objective_and_practical_stationarity,false,6.422366550174225e-6,2.0476167463321045e-12,4.196788302837841e-8,,,,,,,,,,,,,,,,,,
,0.1965705,18,1.0,irls+cholesky,258,norm_plus_norm_irls,0.0336843,,0.13637180000000002,7,0.9972334535553551,0.29614017467496256,0.3889591580690963,adaptive_robust_norm,true,objective_and_practical_stationarity,false,3.2031954620701363e-7,8.814557482077792e-14,8.936683015169818e-8,,,,,,,,,,,,,,,,,,
