,Ridge_ensemble
565,3.8064554711203304
566,3.9298308173674767
567,4.265179560112842
568,3.878914333760202
569,3.837547940140049
570,3.8079735482779014
571,4.364703504212185
572,4.581742205113808
573,4.621576632395478
574,4.431994558464835
575,3.6628941920737055
576,2.716091643098956
577,1.9345827956996668
578,2.202167640413128
579,3.0658100306849074
580,3.0426493395536833
581,3.602007731797297
582,3.813333871077449
583,3.326953673312799
584,2.9820376214959348
585,2.592093856701533
586,2.653657808227902
587,2.7047021365201243
588,3.0674497920856334
589,3.3754189206772773
590,3.902438089329254
591,3.7981097638989385
592,3.529490614381537
593,3.789143367541322
594,3.8587980088267146
595,4.076231309484158
596,3.9768816353769525
597,3.916254761546769
598,3.920052355723226
599,3.747368654360824
600,3.7284273514508324
601,3.798542327879909
602,3.643297896499017
603,3.800378502818845
604,4.200718732432237
605,4.510938569249903
606,4.1734177986907275
607,3.3657715870866873
608,3.1994812876088474
609,3.372165909218202
610,3.6500872098501635
611,3.8412083375322146
612,4.098915081438702
613,4.311219530937311
614,4.5894625828695546
615,4.795313647518448
616,4.35663624881951
617,3.69524264527994
618,3.889067935369323
619,4.065511314831089
620,4.285340185612128
621,4.4712767912635085
622,4.499676037823503
623,4.35656108959077
624,3.6512801764405873
625,3.273356645895938
626,3.0348002295741128
627,3.0533831890825924
628,3.0917220239040546
629,3.082148821614835
630,2.9964487942767635
631,3.090898359691855
632,3.2410195442383296
633,3.318802445082916
634,3.8111288657946516
635,4.23348271487889
636,4.818769329293137
637,4.68907316159294
638,4.135777658663077
639,4.448467321880482
640,4.45927493024411
641,4.4997826157418706
642,4.451986514795929
643,4.937527527071146
644,5.017938719223308
645,4.648096733024008
646,4.724644616780269
647,5.111564368621603
648,5.3873015000021045
649,4.881463763866889
650,4.29655005538949
651,4.476462140326034
652,4.589331255356087
653,4.92274916539513
654,5.22753325439953
655,4.690069558534561
656,4.680288758304395
657,4.612696442614005
658,4.821968549551233
659,4.879080670724574
660,4.924542046552535
661,4.676984591585435
662,4.804837680161504
663,4.867760105199625
664,4.338962821642455
665,3.8298846493188274
666,4.054434108994126
667,4.625146062622512
668,4.916841307638105
669,5.113741771988329
670,5.399034029310272
671,5.554916904363506
